Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-10-29T17:49:33Z,FALSE,Bruz Running,8.13,657,00:47:55,157,173,4.7,158,166,5:54,5:04,20,26,1.08,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:47:00,9,0
Cycling,2019-10-28T15:32:22Z,FALSE,Bruz Cycling,15.16,499,00:45:30,134,156,3.2,--,--,20.0,32.5,58,56,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,18,00:00:00,No,00:45:00,4,0
Running,2019-10-27T17:12:34Z,FALSE,Bruz Running,8.01,663,00:48:43,156,167,4.4,157,164,6:05,5:21,25,20,1.05,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,00:04:00,9,0
Running,2019-10-25T17:08:52Z,FALSE,Bruz Running,6.00,521,00:36:04,162,172,4.5,156,163,6:00,4:59,20,25,1.07,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:00:00,7,0
Cycling,2019-10-22T17:46:15Z,FALSE,Bruz Cycling,4.42,185,00:18:55,127,159,2.3,--,--,14.0,26.5,31,27,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Cycling,2019-10-22T08:14:26Z,FALSE,Bruz Cycling,3.93,172,00:17:59,122,165,2.1,--,--,13.1,29.9,31,26,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,1,0
Cycling,2019-10-21T08:19:45Z,FALSE,Bruz Cycling,3.82,144,00:15:31,120,150,1.6,--,--,14.8,31.7,34,31,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:00:00,1,0
Running,2019-10-20T15:32:51Z,FALSE,Bruz Running,6.00,523,00:37:41,157,168,4.0,156,162,6:17,5:05,22,24,1.02,0,0,0,0,0,--,--,--,00:00:00,00:00:00,27,00:00:00,No,06:06:00,6,0
Cycling,2019-10-20T10:40:53Z,FALSE,Bruz Cycling,3.11,278,00:30:20,122,161,2.0,--,--,6.2,25.9,14,13,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Cycling,2019-10-15T08:16:34Z,FALSE,Bruz Cycling,2.20,92,00:09:55,120,139,2.0,--,--,13.3,26.5,14,9,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:00:00,1,0
Cycling,2019-10-14T08:20:15Z,FALSE,Bruz Cycling,1.84,76,00:07:10,126,153,1.5,--,--,15.4,26.1,14,11,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,1,0
Cycling,2019-10-11T08:16:29Z,FALSE,Bruz Cycling,2.24,98,00:10:50,117,144,1.5,--,--,12.4,27.3,13,11,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:00:00,1,0
Cycling,2019-10-10T08:15:10Z,FALSE,Bruz Cycling,2.52,138,00:14:33,120,144,1.9,--,--,10.4,25.1,16,13,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,21,00:00:00,No,00:00:00,1,0
Cycling,2019-10-04T17:16:32Z,FALSE,Bruz Cycling,5.56,321,00:42:29,113,141,1.5,--,--,7.9,27.5,32,33,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,02:23:00,2,0
Cycling,2019-10-03T17:23:20Z,FALSE,Bruz Cycling,2.14,84,00:10:39,111,135,0.6,--,--,12.1,21.4,15,11,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,28,00:00:00,No,00:00:00,1,0
Running,2019-09-26T17:00:55Z,FALSE,Warsaw Running,7.12,629,00:50:08,146,171,3.3,124,177,7:03,4:36,28,31,1.14,0,0,0,0,0,--,--,--,00:00:00,00:00:00,21,00:00:00,No,00:38:00,8,0
Cycling,2019-09-24T16:27:06Z,FALSE,Bruz Cycling,8.28,275,00:30:19,122,153,1.8,--,--,16.4,29.5,48,49,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,11:34:00,2,0
Cycling,2019-09-21T17:59:19Z,FALSE,Bruz Cycling,15.35,488,00:48:09,127,153,2.1,--,--,19.1,27.8,37,35,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,28,00:00:00,No,01:13:00,4,0
Cycling,2019-09-20T18:39:50Z,FALSE,Bruz Cycling,2.87,90,00:11:11,113,137,0.9,--,--,15.4,25.7,12,11,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,28,00:00:00,No,00:00:00,1,0
Cycling,2019-09-20T17:14:46Z,FALSE,Bruz Cycling,5.42,198,00:23:25,117,142,1.1,--,--,13.9,26.5,24,27,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,29,00:00:00,No,02:00:00,2,0
Cycling,2019-09-19T17:21:47Z,FALSE,Bruz Cycling,2.13,79,00:08:34,118,144,0.8,--,--,14.9,24.9,16,13,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,28,00:00:00,No,00:00:00,1,0
Running,2019-09-19T12:32:36Z,FALSE,Bruz Running,6.88,533,00:37:47,153,176,3.8,152,169,5:30,4:31,25,26,1.19,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,04:54:00,7,0
Cycling,2019-09-16T18:18:27Z,FALSE,Bruz Cycling,2.12,74,00:07:22,120,136,0.5,--,--,17.3,32.1,13,10,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Cycling,2019-09-16T17:21:19Z,FALSE,Bruz Cycling,2.38,81,00:09:53,112,142,0.6,--,--,14.4,25.9,14,14,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,30,00:00:00,No,00:00:00,1,0
Running,2019-09-10T18:27:18Z,FALSE,Lyon Running,5.01,389,00:28:06,153,170,3.2,153,167,5:37,4:34,12,10,1.16,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:02:00,6,0
